ts,latency_s,decode_tps,ntok,prefill_tps
1785607989.1,4.89,26.46,128,301.6
1785607994.0,4.88,26.51,128,354.2
1785607998.9,4.88,26.50,128,353.7
1785608002.7,3.78,26.55,99,354.3
1785608007.5,4.88,26.50,128,354.2
1785608011.2,3.67,26.55,96,354.2
1785608016.1,4.88,26.49,128,354.1
1785608021.0,4.88,26.50,128,354.2
1785608025.8,4.88,26.50,128,353.8
1785608030.7,4.88,26.50,128,353.9
1785608035.6,4.88,26.50,128,353.5
1785608040.5,4.88,26.49,128,354.0
1785608045.4,4.88,26.50,128,354.1
1785608050.3,4.88,26.49,128,354.1
1785608055.1,4.88,26.49,128,354.0
1785608060.0,4.88,26.49,128,354.2
1785608064.0,3.97,26.52,104,354.5
1785608068.9,4.88,26.49,128,354.1
1785608073.7,4.81,26.49,126,354.2
1785608078.6,4.88,26.49,128,353.5
1785608082.6,4.05,26.52,106,353.9
1785608086.0,3.36,26.56,88,353.8
1785608090.9,4.89,26.47,128,354.4
1785608095.0,4.16,26.52,109,353.6
1785608099.9,4.88,26.48,128,354.1
1785608104.6,4.70,26.48,123,353.6
1785608109.5,4.89,26.47,128,353.9
1785608114.0,4.47,26.48,117,353.7
1785608118.8,4.89,26.47,128,354.0
1785608123.7,4.89,26.46,128,353.5
1785608128.6,4.89,26.46,128,353.8
1785608133.4,4.81,26.46,126,353.9
1785608137.2,3.75,26.51,98,353.6
1785608140.4,3.22,26.51,84,353.6
1785608145.2,4.81,26.46,126,354.0
1785608150.1,4.89,26.46,128,354.0
1785608153.3,3.18,26.53,83,353.5
1785608158.2,4.89,26.44,128,353.4
1785608161.6,3.41,26.51,89,353.6
1785608165.4,3.83,26.48,100,353.8
1785608169.7,4.32,26.46,113,354.0
1785608174.6,4.89,26.44,128,353.5
1785608179.5,4.89,26.44,128,353.9
1785608183.8,4.32,26.46,113,353.9
1785608188.7,4.89,26.44,128,351.4
1785608193.6,4.89,26.43,128,351.7
1785608198.5,4.89,26.43,128,353.0
1785608203.1,4.55,26.44,119,353.4
1785608206.8,3.75,26.48,98,353.2
1785608211.7,4.89,26.44,128,353.3
1785608216.2,4.44,26.43,116,353.7
1785608221.0,4.87,26.33,127,353.8
1785608226.0,4.93,26.22,128,352.9
1785608230.9,4.95,26.14,128,352.6
1785608235.8,4.89,26.04,126,349.6
1785608240.8,4.98,25.99,128,351.3
1785608245.7,4.98,25.99,128,350.0
1785608250.7,4.97,26.01,128,353.5
1785608255.5,4.82,25.99,124,352.2
1785608260.3,4.79,25.93,123,348.8
1785608265.3,5.00,25.88,128,346.7
1785608270.3,5.00,25.85,128,353.6
1785608274.3,3.99,25.87,102,346.0
1785608279.1,4.82,25.80,123,349.7
1785608284.2,5.02,25.74,128,351.7
1785608288.3,4.12,25.78,105,350.8
1785608293.3,5.04,25.65,128,353.0
1785608298.5,5.15,25.10,128,340.8
1785608302.7,4.26,25.23,106,333.0
1785608307.0,4.21,25.24,105,342.0
1785608311.7,4.73,25.21,118,342.1
1785608316.8,5.13,25.22,128,326.3
1785608320.7,3.89,25.31,97,342.3
1785608325.8,5.13,25.22,128,332.4
1785608329.7,3.86,25.22,96,342.5
1785608334.8,5.13,25.19,128,340.9
1785608339.0,4.17,25.24,104,342.1
1785608344.1,5.14,25.17,128,342.3
1785608349.3,5.13,25.19,128,342.3
1785608353.5,4.22,25.20,105,340.6
1785608357.9,4.46,25.19,111,342.9
1785608362.6,4.67,25.14,116,342.3
1785608367.8,5.14,25.14,128,342.4
1785608370.6,2.87,25.25,71,335.2
1785608373.4,2.82,25.32,70,342.1
1785608378.3,4.90,25.15,122,342.5
1785608383.5,5.14,25.15,128,333.2
1785608388.6,5.15,25.13,128,335.4
1785608393.8,5.15,25.09,128,339.3
1785608398.9,5.14,25.14,128,342.0
1785608402.7,3.74,25.22,93,324.8
1785608407.8,5.15,25.13,128,342.2
1785608412.4,4.59,25.14,114,342.4
1785608417.6,5.16,25.04,128,341.3
1785608422.7,5.16,25.04,128,341.4
1785608425.9,3.20,25.11,79,341.4
1785608431.1,5.18,24.95,128,332.5
1785608435.0,3.89,25.05,96,333.6
1785608440.2,5.18,24.98,128,324.3
1785608445.4,5.19,24.91,128,341.4
1785608450.6,5.19,24.90,128,341.2
1785608455.8,5.19,24.93,128,340.8
1785608460.9,5.19,24.90,128,338.1
1785608465.7,4.75,24.91,117,340.6
1785608470.9,5.20,24.85,128,339.5
1785608476.1,5.21,24.85,128,326.0
1785608480.9,4.80,24.88,118,333.4
