ts,latency_s,decode_tps,ntok,prefill_tps
1786375099.6,4.91,26.43,128,341.8
1786375104.4,4.88,26.48,128,355.1
1786375109.3,4.89,26.46,128,355.0
1786375113.2,3.86,26.51,101,355.5
1786375118.1,4.89,26.46,128,354.9
1786375123.0,4.89,26.45,128,354.6
1786375127.8,4.89,26.45,128,355.1
1786375132.7,4.89,26.45,128,355.5
1786375137.6,4.89,26.45,128,354.7
1786375142.1,4.43,26.47,116,355.6
1786375147.0,4.89,26.45,128,354.1
1786375151.8,4.89,26.45,128,354.9
1786375156.7,4.89,26.45,128,354.9
1786375161.6,4.89,26.45,128,355.2
1786375166.5,4.89,26.45,128,354.9
1786375170.7,4.17,26.48,109,354.8
1786375175.6,4.89,26.45,128,354.9
1786375180.5,4.89,26.45,128,355.1
1786375185.4,4.89,26.46,128,355.2
1786375189.1,3.79,26.50,99,354.7
1786375194.0,4.89,26.45,128,355.1
1786375198.9,4.89,26.46,128,355.4
1786375203.8,4.89,26.45,128,355.4
1786375208.7,4.89,26.46,128,354.9
1786375213.6,4.89,26.45,128,355.1
1786375218.5,4.89,26.45,128,355.3
1786375223.4,4.89,26.45,128,355.0
1786375228.0,4.59,26.47,120,355.4
1786375232.8,4.89,26.45,128,354.8
1786375237.7,4.89,26.44,128,355.0
1786375242.3,4.51,26.47,118,354.7
1786375247.0,4.74,26.45,124,355.3
1786375251.9,4.89,26.46,128,355.0
1786375256.8,4.89,26.45,128,354.6
1786375261.7,4.89,26.45,128,355.0
1786375266.6,4.89,26.45,128,354.5
1786375271.4,4.89,26.45,128,355.2
1786375276.3,4.89,26.45,128,354.9
1786375281.1,4.81,26.46,126,355.4
1786375286.0,4.89,26.45,128,354.7
1786375290.9,4.89,26.45,128,354.7
1786375295.0,4.09,26.48,107,355.3
1786375299.9,4.89,26.45,128,355.3
1786375304.8,4.89,26.44,128,355.0
1786375309.7,4.89,26.44,128,354.1
1786375314.6,4.89,26.44,128,355.3
1786375319.5,4.89,26.44,128,355.0
1786375324.4,4.89,26.45,128,355.0
1786375329.3,4.89,26.45,128,354.8
1786375334.2,4.89,26.44,128,355.4
1786375338.2,4.09,26.48,107,354.5
1786375343.1,4.89,26.45,128,354.9
1786375348.0,4.89,26.44,128,354.7
1786375351.9,3.86,26.49,101,354.9
1786375356.7,4.78,26.45,125,355.0
1786375361.6,4.89,26.44,128,355.4
1786375365.6,4.05,26.48,106,354.7
1786375370.3,4.66,26.46,122,354.8
1786375375.2,4.89,26.44,128,354.5
1786375379.8,4.66,26.46,122,355.2
1786375384.7,4.89,26.45,128,354.7
1786375389.6,4.89,26.44,128,355.1
1786375393.7,4.13,26.48,108,354.7
1786375397.5,3.75,26.50,98,355.0
1786375402.4,4.89,26.44,128,355.2
1786375406.5,4.13,26.47,108,355.0
1786375411.4,4.89,26.44,128,354.3
1786375416.3,4.89,26.44,128,355.3
1786375420.5,4.21,26.47,110,355.0
1786375424.7,4.21,26.47,110,355.3
1786375429.5,4.82,26.44,126,354.7
1786375434.4,4.89,26.45,128,355.5
1786375439.3,4.89,26.44,128,354.6
1786375444.2,4.89,26.45,128,355.3
1786375448.9,4.70,26.46,123,354.6
1786375453.8,4.89,26.44,128,354.6
1786375458.4,4.59,26.46,120,355.1
1786375463.3,4.89,26.44,128,355.2
1786375468.2,4.90,26.42,128,353.7
1786375473.1,4.89,26.44,128,355.1
1786375477.4,4.36,26.46,114,354.6
1786375481.7,4.24,26.47,111,355.5
1786375486.3,4.66,26.45,122,354.8
1786375490.4,4.09,26.47,107,354.9
1786375495.3,4.89,26.44,128,355.6
1786375500.2,4.89,26.45,128,354.6
1786375503.9,3.71,26.49,97,354.7
1786375508.7,4.82,26.44,126,355.3
1786375513.6,4.89,26.45,128,354.5
1786375517.9,4.25,26.47,111,355.2
1786375522.4,4.47,26.46,117,355.1
1786375527.2,4.89,26.45,128,355.4
1786375532.1,4.89,26.45,128,355.3
1786375536.6,4.43,26.46,116,355.2
1786375541.1,4.51,26.46,118,354.6
1786375545.2,4.13,26.47,108,355.1
1786375550.1,4.89,26.44,128,355.2
1786375554.5,4.36,26.47,114,355.4
1786375558.9,4.43,26.46,116,354.6
1786375562.6,3.67,26.49,96,355.4
1786375567.5,4.89,26.45,128,354.5
1786375572.2,4.70,26.46,123,353.9
1786375577.0,4.89,26.46,128,354.4
1786375581.9,4.89,26.45,128,355.1
1786375586.0,4.09,26.48,107,354.8
1786375590.9,4.89,26.45,128,355.5
1786375595.8,4.89,26.45,128,355.0
1786375600.7,4.89,26.45,128,354.5
1786375604.6,3.90,26.48,102,355.0
1786375609.5,4.89,26.45,128,354.9
1786375614.2,4.74,26.45,124,354.8
1786375619.1,4.89,26.44,128,354.9
1786375624.0,4.89,26.45,128,354.9
1786375628.9,4.89,26.45,128,354.5
1786375633.8,4.89,26.44,128,354.6
1786375638.7,4.85,26.45,127,355.3
1786375643.2,4.51,26.46,118,354.6
1786375648.1,4.90,26.42,128,354.9
1786375653.0,4.89,26.45,128,355.4
1786375657.8,4.89,26.45,128,355.5
1786375662.7,4.89,26.45,128,354.5
1786375667.6,4.89,26.45,128,355.0
1786375672.5,4.89,26.44,128,354.9
1786375676.6,4.13,26.48,108,354.8
1786375680.5,3.90,26.49,102,354.9
1786375685.4,4.89,26.44,128,355.2
1786375690.0,4.51,26.47,118,354.9
1786375694.7,4.78,26.45,125,354.4
1786375699.6,4.89,26.45,128,354.7
1786375704.5,4.89,26.45,128,355.2
1786375709.4,4.89,26.45,128,355.1
1786375714.3,4.89,26.45,128,355.5
1786375719.2,4.89,26.46,128,354.8
1786375724.1,4.89,26.45,128,355.3
1786375728.8,4.74,26.44,124,355.1
1786375733.7,4.89,26.44,128,355.3
1786375738.6,4.89,26.44,128,355.0
1786375743.5,4.89,26.44,128,355.2
1786375748.4,4.89,26.45,128,354.5
1786375753.3,4.89,26.44,128,355.1
1786375758.2,4.89,26.44,128,355.1
1786375762.9,4.74,26.45,124,354.7
1786375767.8,4.89,26.44,128,354.9
1786375772.7,4.89,26.44,128,355.3
1786375777.6,4.89,26.45,128,354.2
1786375782.5,4.89,26.44,128,355.3
1786375787.4,4.89,26.44,128,354.6
1786375791.9,4.55,26.45,119,354.7
1786375796.3,4.36,26.46,114,354.8
1786375800.0,3.67,26.49,96,354.9
1786375804.0,4.09,26.48,107,354.6
1786375808.9,4.89,26.44,128,354.8
1786375813.8,4.89,26.43,128,354.6
1786375818.7,4.89,26.44,128,355.1
1786375823.6,4.89,26.44,128,354.9
1786375828.5,4.90,26.42,128,355.8
1786375833.4,4.89,26.44,128,355.1
1786375838.0,4.62,26.46,121,355.2
1786375842.9,4.89,26.45,128,354.6
1786375847.8,4.89,26.45,128,355.5
1786375852.7,4.89,26.44,128,355.0
1786375857.6,4.89,26.44,128,355.6
1786375862.5,4.89,26.45,128,354.9
1786375867.4,4.89,26.45,128,355.0
1786375872.3,4.89,26.44,128,354.9
1786375877.2,4.89,26.45,128,355.1
1786375882.0,4.89,26.45,128,354.7
1786375886.2,4.17,26.47,109,355.3
1786375890.8,4.62,26.46,121,354.4
1786375895.7,4.89,26.45,128,355.1
1786375900.6,4.89,26.44,128,355.1
1786375905.5,4.89,26.45,128,355.4
1786375909.9,4.36,26.46,114,354.9
1786375914.8,4.89,26.44,128,355.7
1786375918.9,4.17,26.48,109,355.0
1786375923.8,4.89,26.44,128,354.6
1786375927.3,3.45,26.51,90,354.9
1786375932.2,4.89,26.45,128,355.4
1786375937.0,4.85,26.45,127,355.1
1786375940.7,3.67,26.49,96,355.0
1786375945.6,4.89,26.45,128,355.3
1786375949.5,3.94,26.48,103,354.9
1786375954.4,4.89,26.44,128,354.9
1786375959.3,4.85,26.45,127,354.8
1786375964.2,4.89,26.45,128,354.6
1786375969.0,4.89,26.45,128,355.0
1786375973.9,4.89,26.45,128,353.6
1786375978.8,4.89,26.45,128,354.9
1786375983.1,4.29,26.45,112,354.4
1786375988.0,4.89,26.44,128,355.2
1786375992.9,4.89,26.43,128,354.8
1786375997.8,4.89,26.44,128,355.0
1786376002.5,4.74,26.45,124,354.3
1786376007.4,4.90,26.42,128,355.3
1786376012.3,4.89,26.44,128,354.5
1786376016.6,4.32,26.47,113,355.1
1786376021.5,4.89,26.45,128,354.7
1786376025.8,4.28,26.46,112,354.9
1786376030.7,4.89,26.45,128,354.6
1786376034.3,3.64,26.50,95,354.6
1786376039.2,4.89,26.45,128,354.9
1786376044.1,4.89,26.45,128,354.6
1786376049.0,4.89,26.44,128,354.7
1786376053.9,4.89,26.44,128,355.2
1786376058.8,4.89,26.44,128,354.4
1786376063.7,4.89,26.45,128,355.0
1786376068.6,4.89,26.44,128,355.0
1786376073.3,4.74,26.46,124,355.6
1786376078.2,4.89,26.45,128,354.6
1786376083.1,4.89,26.44,128,354.8
1786376088.0,4.89,26.45,128,354.1
1786376092.9,4.89,26.44,128,355.0
1786376097.8,4.89,26.44,128,354.3
1786376101.9,4.09,26.48,107,354.9
1786376106.8,4.89,26.45,128,355.2
1786376111.7,4.89,26.44,128,355.2
1786376116.4,4.70,26.45,123,354.7
1786376120.1,3.71,26.50,97,354.9
1786376125.0,4.89,26.44,128,353.7
1786376129.9,4.89,26.45,128,354.7
1786376134.7,4.89,26.44,128,355.1
1786376139.3,4.59,26.45,120,355.2
1786376144.2,4.89,26.44,128,354.8
1786376148.6,4.36,26.46,114,355.1
1786376153.5,4.89,26.45,128,354.6
1786376158.4,4.89,26.44,128,354.6
1786376163.3,4.89,26.45,128,354.2
1786376168.1,4.89,26.44,128,354.8
1786376173.0,4.89,26.44,128,354.5
1786376177.9,4.89,26.44,128,354.8
1786376182.8,4.89,26.44,128,354.5
