ts,latency_s,decode_tps,ntok,prefill_tps
1786432041.1,4.89,26.54,128,338.5
1786432046.0,4.87,26.56,128,353.6
1786432050.8,4.87,26.55,128,353.3
1786432055.7,4.87,26.55,128,353.1
1786432060.6,4.87,26.55,128,353.2
1786432065.4,4.87,26.54,128,353.4
1786432070.3,4.87,26.55,128,353.6
1786432074.2,3.89,26.54,102,353.1
1786432078.0,3.77,26.60,99,353.4
1786432082.7,4.69,26.53,123,353.5
1786432085.8,3.13,26.64,82,353.2
1786432090.7,4.87,26.54,128,353.3
1786432094.9,4.27,26.55,112,353.3
1786432099.8,4.88,26.53,128,353.5
1786432104.7,4.88,26.53,128,352.6
1786432109.6,4.87,26.54,128,353.1
1786432114.4,4.87,26.54,128,352.8
1786432119.3,4.88,26.53,128,353.2
1786432124.2,4.87,26.54,128,353.0
1786432127.8,3.59,26.59,94,352.9
1786432131.9,4.15,26.56,109,353.3
1786432135.7,3.78,26.58,99,353.4
1786432140.6,4.87,26.54,128,353.1
1786432145.5,4.87,26.54,128,353.7
1786432148.9,3.44,26.59,90,352.6
1786432153.8,4.88,26.53,128,353.3
1786432158.7,4.88,26.53,128,352.8
1786432163.5,4.88,26.53,128,352.3
1786432168.4,4.88,26.54,128,353.4
1786432173.3,4.88,26.53,128,353.0
1786432177.4,4.08,26.56,107,352.8
1786432182.2,4.87,26.53,128,352.9
1786432187.1,4.87,26.53,128,353.2
1786432192.0,4.88,26.53,128,353.1
1786432196.9,4.87,26.55,128,353.6
1786432201.7,4.87,26.54,128,353.4
1786432205.9,4.15,26.57,109,353.3
1786432210.8,4.88,26.52,128,353.0
1786432215.6,4.88,26.53,128,353.0
1786432220.5,4.88,26.53,128,352.9
1786432225.4,4.88,26.53,128,352.4
1786432229.7,4.31,26.56,113,352.6
1786432234.6,4.88,26.53,128,353.0
1786432239.2,4.61,26.55,121,353.8
1786432243.2,3.96,26.58,104,353.4
1786432248.0,4.88,26.53,128,353.0
1786432252.0,3.93,26.57,103,353.2
1786432255.8,3.81,26.58,100,353.1
1786432259.8,4.00,26.56,105,352.7
1786432264.6,4.88,26.53,128,353.1
1786432269.5,4.87,26.54,128,353.3
1786432274.4,4.88,26.53,128,353.0
1786432279.3,4.87,26.54,128,353.2
1786432283.2,3.97,26.57,104,352.4
1786432288.1,4.88,26.52,128,351.7
1786432293.0,4.88,26.53,128,353.0
1786432297.9,4.88,26.53,128,353.1
1786432302.7,4.88,26.53,128,353.1
1786432307.6,4.87,26.54,128,353.7
1786432312.5,4.87,26.54,128,352.6
1786432317.4,4.88,26.53,128,353.4
1786432321.6,4.23,26.57,111,353.0
1786432326.5,4.88,26.53,128,353.4
